fiscal_year,revenue_target_bn,revenue_actual_bn,allocation_bn_education,allocation_bn_healthcare,allocation_bn_infrastructure,allocation_bn_total,expenditure_actual_bn_education,expenditure_actual_bn_healthcare,expenditure_actual_bn_infrastructure,expenditure_actual_bn_total,debt_stock_bn,debt_service_bn,debt_to_gdp_pct,revenue_actual_bn_growth_pct,revenue_compliance_gap_pct,budget_execution_rate_pct,debt_to_revenue_ratio,revenue_actual_bn_per_capita,debt_stock_bn_growth_pct
2013/14,1015.6,963.8,340.0,61.0,292.0,1640.9,316.2,52.8,230.5,1538.7,2111.0,310.0,42.1,,-5.100433241433642,93.77171064659638,2.190288441585391,,
2014/15,1127.9,1050.4,370.0,66.0,325.0,1825.7,348.1,56.3,262.0,1714.3,2560.0,365.0,44.5,8.985266652832546,-6.8711765227413775,93.89823081557758,2.437166793602437,,21.2695405021317
2015/16,1255.0,1151.3,400.0,72.0,380.0,2109.2,371.0,61.5,301.2,1945.6,3118.0,420.0,48.7,9.6058644325971,-8.262948207171318,92.24350464631141,2.7082428559020237,,21.796875000000004
2016/17,1411.5,1365.0,430.0,78.0,410.0,2291.1,401.5,64.2,330.0,2130.0,3708.0,490.0,50.3,18.561625988013564,-3.294367693942614,92.96844310593166,2.7164835164835166,,18.922386144964733
2017/18,1566.4,1435.4,460.0,83.0,450.0,2565.0,420.8,68.5,358.0,2340.0,4534.0,580.0,53.2,5.157509157509166,-8.363125638406537,91.22807017543859,3.1587014072732336,,22.27615965480043
2018/19,1677.7,1580.3,490.0,93.0,470.0,2558.0,452.0,76.3,374.5,2401.0,5374.0,680.0,56.1,10.094747108819835,-5.805567145496816,93.86239249413605,3.4006201354173258,,18.52668725187472
2019/20,1819.5,1573.5,505.0,111.7,490.0,2796.0,462.0,95.4,385.0,2620.0,6343.0,780.0,62.4,-0.4302980446750593,-13.520197856553997,93.70529327610872,4.0311407689863366,,18.031261630070716
2020/21,1651.5,1669.4,510.0,121.0,500.0,2968.0,474.0,108.2,395.0,2810.0,7281.0,870.0,67.8,6.094693358754366,1.083863154707847,94.6765498652291,4.36144722654846,,14.78795522623364
2021/22,1882.4,1912.9,530.0,126.0,510.0,3030.2,498.0,110.5,410.0,2875.0,8190.0,985.0,66.4,14.58607883071763,1.62027199320017,94.87822585967923,4.281457472946834,,12.48454882571075
2022/23,2166.4,2166.0,558.0,134.0,530.0,3314.4,524.0,118.0,425.0,3100.0,9381.0,1140.0,68.5,13.23121961419833,-0.01846381093058027,93.53125754284335,4.3310249307479225,,14.542124542124535
2023/24,2495.8,2397.8,586.0,142.0,555.0,3682.6,,,,,10550.0,1350.0,70.2,10.701754385964923,-3.926596682426476,,4.399866544332304,,12.461358064172256
